Stock1,Stock2
GESAN.csv,SOKM.csv
GESAN.csv,ALARK.csv
GESAN.csv,KORDS.csv
GESAN.csv,TTRAK.csv
GESAN.csv,CCOLA.csv
GESAN.csv,YEOTK.csv
MIATK.csv,YKBNK.csv
MIATK.csv,GUBRF.csv
MIATK.csv,ENJSA.csv
MIATK.csv,BOBET.csv
MIATK.csv,BRSAN.csv
MIATK.csv,TURSG.csv
MIATK.csv,AKSA.csv
MIATK.csv,VAKBN.csv
MIATK.csv,BIMAS.csv
MIATK.csv,ECILC.csv
MIATK.csv,VESTL.csv
MIATK.csv,EGEEN.csv
MIATK.csv,SISE.csv
MIATK.csv,EREGL.csv
MIATK.csv,VESBE.csv
MIATK.csv,PETKM.csv
MIATK.csv,AKFGY.csv
MIATK.csv,AKSEN.csv
MIATK.csv,GARAN.csv
MIATK.csv,AKFYE.csv
MIATK.csv,TKFEN.csv
MIATK.csv,ALFAS.csv
MIATK.csv,CANTE.csv
MIATK.csv,KLSER.csv
MIATK.csv,ARCLK.csv
MIATK.csv,MGROS.csv
MIATK.csv,ODAS.csv
MIATK.csv,SASA.csv
MIATK.csv,KRDMD.csv
MIATK.csv,AHGAZ.csv
MIATK.csv,TOASO.csv
MIATK.csv,AGESA.csv
MIATK.csv,CWENE.csv
MIATK.csv,AKBNK.csv
MIATK.csv,AKCNS.csv
MIATK.csv,EKGYO.csv
MIATK.csv,ISGYO.csv
MIATK.csv,THYAO.csv
MIATK.csv,PGSUS.csv
MIATK.csv,GOKNR.csv
MIATK.csv,TSKB.csv
MIATK.csv,ENTRA.csv
MIATK.csv,BRYAT.csv
MIATK.csv,DOAS.csv
MIATK.csv,A1CAP.csv
MIATK.csv,TAVHL.csv
MIATK.csv,AEFES.csv
MIATK.csv,SKBNK.csv
MIATK.csv,SAHOL.csv
MIATK.csv,CIMSA.csv
MIATK.csv,ISCTR.csv
MIATK.csv,BIOEN.csv
MIATK.csv,ULKER.csv
MIATK.csv,HEKTS.csv
MIATK.csv,OYAKC.csv
MIATK.csv,TUPRS.csv
MIATK.csv,KONTR.csv
MIATK.csv,BUCIM.csv
MIATK.csv,OBAMS.csv
MIATK.csv,FROTO.csv
MIATK.csv,YYLGD.csv
MIATK.csv,KZGYO.csv
MIATK.csv,AFYON.csv
MIATK.csv,KCAER.csv
MIATK.csv,GWIND.csv
MIATK.csv,ASTOR.csv
MIATK.csv,ANSGR.csv
MIATK.csv,ISMEN.csv
MIATK.csv,KAYSE.csv
MIATK.csv,ASELS.csv
MIATK.csv,DOHOL.csv
MIATK.csv,KCHOL.csv
MIATK.csv,ENKAI.csv
MIATK.csv,BERA.csv
MIATK.csv,AGROT.csv
MIATK.csv,BINHO.csv
MIATK.csv,MAVI.csv
MIATK.csv,HALKB.csv
MIATK.csv,ALBRK.csv
MIATK.csv,ARDYZ.csv
MIATK.csv,KMPUR.csv
MIATK.csv,TTKOM.csv
MIATK.csv,OTKAR.csv
MIATK.csv,EUPWR.csv
MIATK.csv,SOKM.csv
MIATK.csv,ALARK.csv
MIATK.csv,KORDS.csv
MIATK.csv,TTRAK.csv
MIATK.csv,CCOLA.csv
MIATK.csv,YEOTK.csv
YKBNK.csv,GUBRF.csv
YKBNK.csv,ENJSA.csv
YKBNK.csv,BOBET.csv
YKBNK.csv,BRSAN.csv
YKBNK.csv,TURSG.csv
YKBNK.csv,AKSA.csv
YKBNK.csv,VAKBN.csv
YKBNK.csv,BIMAS.csv
YKBNK.csv,ECILC.csv
YKBNK.csv,VESTL.csv
YKBNK.csv,EGEEN.csv
YKBNK.csv,SISE.csv
YKBNK.csv,EREGL.csv
YKBNK.csv,VESBE.csv
YKBNK.csv,PETKM.csv
YKBNK.csv,AKFGY.csv
YKBNK.csv,AKSEN.csv
YKBNK.csv,GARAN.csv
YKBNK.csv,AKFYE.csv
YKBNK.csv,TKFEN.csv
YKBNK.csv,ALFAS.csv
YKBNK.csv,CANTE.csv
YKBNK.csv,KLSER.csv
YKBNK.csv,ARCLK.csv
YKBNK.csv,MGROS.csv
YKBNK.csv,ODAS.csv
YKBNK.csv,SASA.csv
YKBNK.csv,KRDMD.csv
YKBNK.csv,AHGAZ.csv
YKBNK.csv,TOASO.csv
YKBNK.csv,AGESA.csv
YKBNK.csv,CWENE.csv
YKBNK.csv,AKBNK.csv
YKBNK.csv,AKCNS.csv
YKBNK.csv,EKGYO.csv
YKBNK.csv,ISGYO.csv
YKBNK.csv,THYAO.csv
YKBNK.csv,PGSUS.csv
YKBNK.csv,GOKNR.csv
YKBNK.csv,TSKB.csv
YKBNK.csv,ENTRA.csv
YKBNK.csv,BRYAT.csv
YKBNK.csv,DOAS.csv
YKBNK.csv,A1CAP.csv
YKBNK.csv,TAVHL.csv
YKBNK.csv,AEFES.csv
YKBNK.csv,SKBNK.csv
YKBNK.csv,SAHOL.csv
YKBNK.csv,CIMSA.csv
YKBNK.csv,ISCTR.csv
YKBNK.csv,BIOEN.csv
YKBNK.csv,ULKER.csv
YKBNK.csv,HEKTS.csv
YKBNK.csv,OYAKC.csv
YKBNK.csv,TUPRS.csv
YKBNK.csv,KONTR.csv
YKBNK.csv,BUCIM.csv
YKBNK.csv,OBAMS.csv
YKBNK.csv,FROTO.csv
YKBNK.csv,YYLGD.csv
YKBNK.csv,KZGYO.csv
YKBNK.csv,AFYON.csv
